127.0.0.1 - - [07/Sep/2022:22:38:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:38:53 +0900] "GET /JSP_STUDY/STUDY0905/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:38:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:39:09 +0900] "POST /JSP_STUDY/STUDY0905/insertPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:39:09 +0900] "GET /JSP_STUDY/STUDY0905/select.jsp HTTP/1.1" 500 3694
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:39:48 +0900] "GET /JSP_STUDY/STUDY0905/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:39:54 +0900] "POST /JSP_STUDY/STUDY0905/insertPro.jsp HTTP/1.1" 500 3984
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:40:03 +0900] "GET /JSP_STUDY/STUDY0905/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:40:09 +0900] "POST /JSP_STUDY/STUDY0905/insertPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:40:09 +0900] "GET /JSP_STUDY/STUDY0905/select.jsp HTTP/1.1" 500 3694
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:40:58 +0900] "GET /JSP_STUDY/STUDY0905/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:41:04 +0900] "POST /JSP_STUDY/STUDY0905/insertPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:41:04 +0900] "GET /JSP_STUDY/STUDY0905/select.jsp HTTP/1.1" 500 3694
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:43:06 +0900] "GET /JSP_STUDY/STUDY0905/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:43:11 +0900] "POST /JSP_STUDY/STUDY0905/insertPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:43:11 +0900] "GET /JSP_STUDY/STUDY0905/select.jsp HTTP/1.1" 500 3694
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:44:40 +0900] "GET /JSP_STUDY/STUDY0905/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:44:47 +0900] "POST /JSP_STUDY/STUDY0905/insertPro.jsp HTTP/1.1" 500 3958
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:45:01 +0900] "GET /JSP_STUDY/STUDY0905/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:45:08 +0900] "POST /JSP_STUDY/STUDY0905/insertPro.jsp HTTP/1.1" 500 3958
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:46:41 +0900] "GET /JSP_STUDY/STUDY0905/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:46:46 +0900] "POST /JSP_STUDY/STUDY0905/insertPro.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:47:03 +0900] "GET /JSP_STUDY/STUDY0905/insertForm.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:47:15 +0900] "POST /JSP_STUDY/STUDY0905/insertPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:22:47:15 +0900] "GET /JSP_STUDY/STUDY0905/select.jsp HTTP/1.1" 200 874
